Count,ExcerptPostId,Id,TagName,WikiPostId
95,1722,269,hostels,1721
2094,1126,270,schengen,1125
21,10010,271,tanzania,10009
4,52900,273,swaziland,52899
137,3733,274,power,3732
35,1203,281,lax,1202
14,2962,283,british-columbia,2961
8,1207,285,jnb,1206
55,11707,290,washington-dc,11706
369,2142,291,airport-security,2141
21,10109,293,campers,10108
105,2622,294,norway,2621
227,860,295,netherlands,859
24,34849,297,cyprus,34848
802,1790,299,canada,1789
52,1751,301,toronto,1750
5,10489,302,honduras,10488
15,2234,304,kyrgyzstan,2233
3,83090,307,pamir-highway,83089
31,9845,308,festivals,9844
23,1205,309,kul,1204
4,16210,311,dushanbe,16209
954,1221,313,passports,1220
47,9865,315,shipping,9864
73,2226,320,ukraine,2225
35,3238,322,venice,3237
867,2224,323,tickets,2223
59,9839,324,travel-agents,9838
33,1749,329,stockholm,1748
161,2240,333,driving-licenses,2239
89,3372,337,museums,3371
12,3811,338,lithuania,3810
135,2382,339,indonesia,2381
85,2410,340,solo-travel,2409
17,2378,343,nicaragua,2377
60,1136,344,atms,1135
3,3815,345,bishkek,3814
66,2364,347,working-holiday,2363
11,9863,350,jet-lag,9862
59,2370,351,long-haul,2369
159,3350,352,ireland,3349
1204,1195,353,transit,1194
14,23283,354,central-asia,23282
34,6401,363,outdoor-activities,6400
107,4584,369,tokyo,4583
2,82678,373,novosibirsk,82677
8,1148,375,ulan-bator,1147
261,1110,377,children,1109
27,2960,378,buenos-aires,2959
226,1150,381,lhr,1149
147,2402,382,singapore,2401
42,9732,385,beijing,9731
50,1757,390,officials,1756
3,82675,392,irkutsk,82674
4,82995,393,almaty,82994
125,2396,396,sweden,2395
5,66039,398,beggars,66038
2,1270,399,syx,1269
9,1272,400,mel,1271
29,1276,403,lgw,1275
4,2914,405,astana,2913
10,1753,407,zimbabwe,1752
79,1350,409,wifi,1349
63,2258,413,islands,2257
18,2404,414,remote-locations,2403
9,10712,416,corruption,10711
69,2416,419,san-francisco,2415
12,10004,420,northern-california,10003
49,1746,422,vancouver,1745
109,1355,424,united-airlines,1354
32,1357,425,easyjet,1356
64,1363,428,ewr,1362
13,1388,432,cathay-pacific,1387
8,1390,433,china-southern-airlines,1389
10,23536,450,uganda,23535
31,1462,452,disney,1461
29,1759,455,jordan,1758
3,53348,456,petra,53347
11,16077,457,manchester,16076
27,2294,458,macedonia,2293
63,7899,459,scotland,7898
5,16405,461,dead-sea,16404
44,2376,463,lounges,2375
36,5706,464,montreal,5705
29,9843,465,guidebooks,9842
86,1726,466,data-plans,1725
75,4489,469,morocco,4488
24,3006,470,melbourne,3005
59,3051,471,egypt,3050
191,2236,473,exchange,2235
38,2400,480,serbia,2399
20,2368,481,albania,2367
16,2420,483,athens,2419
15,2958,484,bucharest,2957
26,9827,494,hawaii,9826
9,4556,495,korean-air,4555
12,1673,497,yvr,1672
35,7474,500,sri-lanka,7473
20,17506,503,northern-ireland,17505
17,2360,505,southern-california,2359
133,2877,510,belgium,2876
79,2854,511,brussels,2853
12,6403,512,southeast-europe,6402
156,3971,515,internet,3970
54,3715,517,pets,3714
18,2256,518,balkans,2255
51,3348,519,hitchhiking,3347
35,1942,522,gps-navigation,1941
80,10002,523,croatia,10001
10,7090,527,batumi,7089
19,9871,531,couchsurfing,9870
20,2880,533,geneva,2879
64,11724,534,duty-free,11723
122,1934,536,gear,1933
809,2242,539,legal,2241
56,1969,540,bangkok,1968
11,1967,541,sofia,1966
22,1965,542,oneworld,1964
40,9833,544,las-vegas,9832
204,2004,546,eu,2003
27,9835,548,group-travel,9834
10,2002,549,liechtenstein,2001
84,2222,550,austria,2221
64,9817,551,national-parks,9816
18,16128,553,niagara-falls,16127
23,3725,554,insects,3724
33,8303,555,alps,8302
30,2088,556,ontario,2087
23,2147,564,helsinki,2146
58,2132,566,finland,2131
60,2162,570,nepal,2161
60,2423,574,cdg,2422
124,2202,575,uae,2201
7,10481,576,arctic,10480
9,2210,579,space,2209
10,2212,581,kerala,2211
49,2208,582,cities,2207
10,2216,586,us-airways,2215
12,13263,588,san-diego,13262
78,2268,590,jfk,2267
2,8180,595,chernobyl,8179
2,2412,598,shkoder,2411
128,5682,600,culture,5681
11,16236,601,homestay,16235
31,5885,604,gifts,5884
23,2902,607,interrail,2901
43,2430,608,tap-water,2429
31,23534,610,local-knowledge,23533
168,9847,613,dubai,9846
76,2440,614,dxb,2439
15,13721,618,latvia,13720
7,2526,619,riga,2525
23,16197,620,jamaica,16196
7,2483,622,georgia-usa,2482
17,16450,623,winter-sports,16449
25,10000,624,pre-pay,9999
72,4131,628,czech-republic,4130
40,2889,629,zurich,2888
2,82479,631,berat,82478
315,9861,632,us-visa-waiver-program,9860
35,9815,633,costa-rica,9814
10,83363,636,safari,83362
87,9813,639,stopovers,9812
15,10014,641,aeroflot,10013
12,2591,642,scandinavia,2590
5,2593,643,nordic-countries,2592
19,5091,646,swiss,5090
22,4546,647,singapore-airlines,4545
487,2650,650,us-citizens,2649
150,2652,651,australian-citizens,2651
130,2658,653,canadian-citizens,2657
99,2656,655,eu-citizens,2655
91,3343,656,beaches,3342
128,2665,657,bicycles,2664
164,2667,660,identify-this,2666
36,2663,664,tbilisi,2662
68,3345,666,winter,3344
20,4513,669,central-europe,4512
39,10491,671,accessibility,10490
40,2776,673,day-trips,2775
10,2774,674,cairo,2773
79,10466,676,recommendations,10465
193,3731,679,south-korea,3730
6,2818,681,thessaloniki,2817
59,9809,682,communication,9808
10,9730,683,mount-everest,9729
364,3060,684,tips-and-tricks,3059
46,3729,686,locate-this,3728
30,2849,687,vantage-points,2848
60,9435,691,nightlife,9434
159,2851,692,terminology,2850
277,2887,693,uk-citizens,2886
9,16130,697,tel-aviv,16129
39,2898,698,vienna,2897
10,52890,699,namibia,52889
7,4565,705,air-new-zealand,4564
234,6412,709,electronic-items,6411
60,9977,713,lufthansa,9976
9,5521,714,amazon-jungle,5520
4,16346,715,submarines,16345
39,9859,719,chicago,9858
87,6626,721,alcohol,6625
4,8172,725,auschwitz,8171
49,3008,726,sydney,3007
20,3011,727,kyoto,3010
3,2997,729,vce,2996
2,18303,732,jonkoping,18302
15,16589,735,venezuela,16588
6,14717,737,yosemite,14716
291,4371,739,regulations,4370
11,6215,743,boeing,6214
131,5873,744,aircraft,5872
119,5883,747,brazil,5882
270,16756,749,dual-nationality,16755
121,9734,751,hygiene,9733
3,3150,753,great-barrier-reef,3149
24,3179,759,disputed-territories,3178
54,3713,760,asia,3712
27,9857,761,geography,9856
63,5684,766,countries,5683
8,31151,773,kyushu,31150
8,3254,775,hostelworld,3253
33,11705,777,sports-events,11704
523,9801,783,paperwork,9800
6,16132,786,fjords,16131
171,9799,789,shopping,9798
23,23541,790,souvenirs,23540
50,3858,791,iranian-citizens,3857
17,10472,794,hot-springs,10471
37,3717,795,embassies,3716
103,4554,798,british-airways,4553
10,76976,802,footwear,76975
7,10485,803,no-advance-plans,10484
76,9819,804,architecture,9818
56,4491,806,landmarks,4490
10,23912,808,thanksgiving,23911
139,4380,810,visa-free-entry,4379
86,9811,811,restaurants,9810
51,9443,812,one-way,9442
179,10477,814,study,10476
63,3433,815,languages,3432
10,16762,816,surfing,16761
5,16409,817,valencia,16408
87,7901,818,berlin,7900
16,16458,824,patagonia,16457
79,9853,825,chile,9852
28,10008,827,snow,10007
120,4382,828,visas-on-arrival,4381
16,11726,831,war-zones,11725
133,3793,838,amsterdam,3792
423,9803,839,layovers,9802
71,9825,840,walking,9824
45,10870,851,greyhound,10869
70,3862,854,russian-citizens,3861
35,10845,856,qatar,10844
8,37058,862,sicily,37057
25,11715,870,islam,11714
19,3719,872,sex,3718
8,3697,875,lcy,3696
48,8170,877,amtrak,8169
75,4373,882,public-holidays,4372
11,3868,888,new-south-wales,3867
40,4051,889,sfo,4050
19,4147,891,auroras,4146
7,3866,892,san-jose-california,3865
7,19670,893,tromso,19669
75,3791,902,ams,3790
9,3978,903,basel,3977
2,36707,904,baltic-sea,36706
9,11399,905,kaliningrad,11398
3,83016,907,curonian-spit,83015
60,3856,908,german-citizens,3855
80,4087,914,religion,4086
16,23904,916,temples,23903
18,3854,919,amusement-parks,3853
7,3852,920,cairns,3851
42,4085,922,statistics,4084
45,4517,924,roaming,4516
28,3892,931,indonesian-citizens,3891
6,14792,933,greenland,14791
9,3956,935,cancun,3955
15,16394,937,volcanoes,16393
3,4009,943,french-guiana,4008
32,30898,945,global-entry,30897
29,4075,955,new-delhi,4074
28,11703,962,sailing,11702
177,8537,965,where-on-earth,8536
6,16204,967,galapagos-islands,16203
17,4203,973,north-korea,4202
25,9422,977,off-road,9421
6,9551,978,bath-england,9550
10,4220,979,animal-riding,4219
13,24526,981,ethical-travel,24525
24,4212,984,luxury,4211
6,4206,985,north-africa,4205
16,23265,986,resorts,23264
15,13735,987,deserts,13734
47,4210,989,long-term,4209
7,16328,992,altitude,16327
2,31153,995,christmas-island,31152
14,16124,997,rio-de-janeiro,16123
12,4260,998,swedish-citizens,4259
36,9841,1000,short-notice,9840
20,4279,1003,polish-citizens,4278
8,18507,1006,senegal,18506
3,4700,1010,dakar,4699
27,11709,1011,entertainment,11708
8,4695,1012,carnival-mardi-gras,4694
99,9823,1013,sleeping,9822
34,9837,1015,low-cost-carriers,9836
73,4367,1017,chinese-citizens,4366
97,4586,1019,tsa,4585
11,9869,1020,cape-town,9868
12,23920,1021,oregon,23919
11,16240,1024,marrakech,16239
89,4552,1031,american-airlines,4551
16,4673,1035,nudism,4672
12,11717,1040,mediterranean,11716
41,4646,1044,klm,4645
31,4724,1054,ord,4723
365,4742,1056,esta,4741
7,14539,1064,new-orleans,14538
20,16227,1066,music,16226
2,31155,1072,byron-bay,31154
96,7343,1075,california,7342
37,18613,1081,mumbai,18612
18,30854,1092,osaka,30853
18,17533,1094,machu-picchu,17532
16,4980,1095,discrimination,4979
916,5021,1097,indian-citizens,5020
13,14478,1099,phuket,14477
3,83687,1103,burning-man,83686
6,20907,1105,fiji,20906
22,11713,1106,natural-disasters,11712
43,11711,1107,emergencies,11710
6,6222,1119,wroclaw,6221
66,9849,1123,england,9848
2,5279,1128,lgb,5278
19,17314,1129,bosnia,17313
7,24352,1136,rajasthan,24351
10,16134,1137,jerusalem,16133
30,27600,1143,air-india,27599
4,16242,1144,kingfisher-airlines,16241
17,8190,1145,krakow,8189
7,6126,1148,gdansk,6125
2,83002,1150,daintree,83001
30,10594,1153,tax-refunds,10593
14,5499,1154,ltn,5498
8,5502,1155,east-asia,5501
43,5519,1156,seoul,5518
10,5596,1172,scenic-routes,5595
27,5641,1176,lisbon,5640
3,74474,1187,banks,74473
51,5766,1196,eta,5765
55,23528,1197,cultural-awareness,23527
35,18509,1199,kuwait,18508
44,5832,1206,visa-runs,5831
155,9432,1207,cancellations,9431
495,9805,1208,bookings,9804
13,5850,1210,pek,5849
5,83494,1215,technical-stops,83493
3,76772,1216,honolulu,76771
38,9430,1219,panama,9429
6,10872,1221,marshrutkas,10871
36,16126,1222,traffic,16125
35,6346,1227,geek-travel,6345
173,6559,1231,factoids,6558
2,30856,1236,jodhpur,30855
4,6108,1239,yerevan,6107
20,6394,1240,ships,6393
15,6265,1255,bahamas,6264
33,6282,1258,copenhagen,6281
11,23273,1259,charter,23272
5,47004,1260,split,47003
23,30999,1264,eurail,30998
21,8196,1265,zrh,8195
3,9549,1268,andaman-nicobar-islands,9548
5,16425,1269,helicopters,16424
11,9547,1275,arizona,9546
17,22544,1281,travel-tools,22543
20,6484,1283,socializing,6483
11,10988,1286,goa-india,10987
14,7462,1287,bangalore,7461
25,8160,1290,yyz,8159
11,16758,1292,siberia,16757
2,8174,1293,baikal,8173
6,6664,1296,philippine-airlines,6663
81,13723,1299,portugal,13722
12,6668,1300,alaska-airlines,6667
41,8599,1306,moscow,8598
31,10479,1311,volunteering,10478
25,7303,1315,madrid,7302
9,20913,1323,jakarta,20912
9,10006,1331,olympics,10005
53,9428,1340,colombia,9427
3,,1343,mobile-internet,
16,7104,1348,saudi-citizens,7103
2,82461,1353,timbuktu,82460
4,52888,1354,mali,52887
46,7178,1357,fra,7177
43,7230,1358,ist,7229
6,23910,1360,maryland,23909
9,7300,1368,monaco,7299
6,60898,1370,extreme-sports,60897
5,7331,1371,south-asia,7330
98,11719,1386,etiquette,11718
12,10624,1395,vatican-city,10623
7,8166,1398,lima,8165
7,30985,1402,kashmir,30984
6,84849,1403,phi-phi,84848
18,16344,1404,israeli-citizens,16343
14,23530,1407,travel-companions,23529
10,7785,1410,hhn,7784
56,31014,1414,import-taxes,31013
15,65879,1416,new-jersey,65878
4,53011,1419,christchurch,53010
37,7909,1422,dublin,7908
10,30987,1425,ramadan,30986
40,8052,1426,sncf,8051
14,7976,1429,bkk,7975
5,18611,1430,cannes,18610
5,59371,1433,school-holidays,59370
54,10470,1435,barcelona,10469
16,8040,1440,quebec,8039
12,23263,1447,vientiane,23262
2,8327,1449,lusaka,8326
7,31018,1450,zambia,31017
129,9807,1452,fees-and-charges,9806
7,8158,1454,la-paz,8157
21,14565,1458,saint-petersburg,14564
43,8325,1459,prague,8324
68,13730,1462,ryanair,13729
31,10016,1465,air-canada,10015
28,17312,1467,montenegro,17311
19,8331,1469,bavaria,8330
38,8275,1471,airbnb,8274
41,9910,1473,swimming,9909
9,16212,1476,romance,16211
10,17219,1481,siem-reap,17218
2,82482,1483,pakse,82481
7,65877,1485,universal-studios,65876
7,8441,1491,dolomites,8440
26,16326,1494,flight-status,16325
8,52835,1498,peak-district,52834
10,23908,1500,software,23907
22,8544,1504,slovakia,8543
20,8530,1505,canary-islands,8529
4,17316,1507,ghent,17315
28,9912,1527,water-sports,9911
9,83277,1529,stateless-persons,83276
5,8749,1532,baltic-region,8748
25,8893,1535,ukrainian-citizens,8892
251,9821,1536,hand-luggage,9820
15,8840,1538,pregnancy,8839
3,9258,1540,eurozone,9257
2,53272,1545,bodrum,53271
10,10483,1546,great-wall-of-china,10482
3,23922,1551,mecca,23921
47,12759,1553,saudi-arabia,12758
7,9720,1556,airline-alliances,9719
9,23532,1559,washington-state,23531
16,16460,1560,summer,16459
18,9095,1565,hkg,9094
13,9131,1566,santiago-de-chile,9130
10,16074,1571,paraguay,16073
6,11200,1572,wwoof,11199
6,65873,1576,maui,65872
23,9572,1579,etihad,9571
2,16168,1580,libya,16167
11,31020,1589,guangzhou,31019
2,9318,1590,can,9317
26,9851,1593,doha,9850
12,9358,1597,hel,9357
4,53039,1599,french-polynesia,53038
5,52994,1600,jeju,52993
5,10145,1605,new-england,10144
15,9464,1606,syd,9463
5,9402,1607,ankara,9401
4,82477,1608,cappadocia,82476
27,30859,1609,japan-rail,30858
8,9407,1611,iguazu-falls,9406
63,9957,1616,events,9956
14,23281,1620,ride-sharing,23280
3,9491,1623,asuncion,9490
106,10295,1628,family,10294
21,9539,1629,icn,9538
12,18505,1640,cologne,18504
69,9588,1641,munich,9587
20,10267,1644,lille,10266
3,9982,1653,nova-scotia,9981
14,11314,1655,queensland,11313
9,16338,1661,nevada,16337
4,83713,1664,victoria-falls,83712
7,53363,1667,pyrenees,53362
14,20909,1668,dusseldorf,20908
23,9964,1670,bru,9963
53,16312,1672,nigerian-citizens,16311
6,16173,1676,malawi,16172
13,10072,1682,tenerife,10071
13,10107,1686,motor-homes,10106
22,16407,1688,texas,16406
6,10165,1692,arn,10164
60,23275,1693,qatar-airways,23274
4,10457,1696,scl,10456
7,52957,1699,nicaraguan-citizens,52956
26,31001,1700,i-94,31000
7,10384,1713,radiation,10383
12,10523,1722,atlanta,10522
21,10525,1724,brisbane,10524
42,10551,1729,turkish-citizens,10550
3,10702,1733,georgian-language,10701
11,10647,1734,russian-language,10646
46,10704,1735,egyptian-citizens,10703
3,10655,1736,den,10654
7,12751,1739,formula-one,12750
2,53076,1740,grands-prix,53075
11,10699,1742,salzburg,10698
9,16281,1744,japanese-language,16280
4,53330,1746,lake-district,53329
17,11192,1752,bangladesh,11191
2,52959,1753,tasmania,52958
4,12829,1754,genoa,12828
31,10800,1757,tolls,10799
2,10809,1760,danube,10808
29,10875,1761,bali,10874
8,51872,1763,chiang-mai,51871
10,53046,1765,the-louvre,53045
11,53390,1767,himalayas,53389
1,10953,1769,tos,10952
1,13741,1773,tse,13740
1,10977,1774,airport-link,10976
5,10980,1775,late-arrival,10979
23,10983,1776,qantas,10982
4,10986,1777,bsl,10985
1,16166,1778,idaho,16165
11,26300,1781,chennai,26299
36,11029,1785,french-citizens,11028
1,11407,1792,gye,11406
2,11405,1793,guayaquil,11404
21,16316,1795,del,16315
8,11074,1797,tamil-nadu,11073
14,11397,1799,nice,11396
5,53044,1800,french-riviera,53043
180,14719,1801,weather-and-climate,14718
16,16238,1802,military,16237
3,82447,1803,gran-canaria,82446
7,69420,1804,opaque-provider,69419
136,16148,1807,pakistani-citizens,16147
1,11389,1808,ein,11388
7,20978,1809,maastricht,20977
4,11395,1810,andalusia,11394
23,11157,1813,dutch-citizens,11156
3,11319,1815,sjo,11318
1,11162,1816,san-jose,11161
1,11391,1817,amritsar,11390
15,11387,1818,florence,11386
11,11403,1820,swiss-citizens,11402
16,11401,1821,spanish-citizens,11400
15,11385,1822,lyon,11384
28,11383,1823,milan,11382
23,11294,1824,upgrades,11293
4,11393,1825,pittsburgh,11392
9,83678,1828,government-buildings,83677
22,23545,1829,backpacks,23544
9,11381,1830,kathmandu,11380
10,16760,1837,salar-de-uyuni,16759
3,82451,1838,puno,82450
1,11453,1839,wakayama,11452
7,16314,1840,nuremberg,16313
41,11721,1841,eurostar,11720
10,11479,1842,mad,11478
13,23256,1846,new-caledonia,23255
25,31010,1848,timezones,31009
23,39766,1852,riverboats,39765
6,16956,1854,loire-valley,16955
20,23279,1855,okinawa,23278
8,17490,1856,bhutan,17489
15,16233,1857,miami,16232
11,11593,1858,oceania,11592
15,11614,1859,sin,11613
87,16334,1860,south-african-citizens,16333
6,11631,1861,eze,11630
15,52882,1869,oman,52881
2,11733,1872,tsf,11732
14,52083,1873,rivers,52082
28,17473,1876,myanmar,17472
27,12777,1877,muc,12776
50,12809,1880,nrt,12808
2,16150,1882,turin,16149
8,16140,1889,uzbek-citizens,16139
44,16122,1890,drugs,16121
40,16085,1891,female-travellers,16084
44,23538,1893,weddings,23537
127,14687,1897,seating,14686
5,,1900,adapters,
4,13069,1902,perth,13068
2,13071,1903,tfs,13070
2,16138,1904,ukrainian-language,16137
21,16199,1906,malta,16198
251,13126,1907,payment-cards,13125
14,16120,1911,football,16119
8,13220,1913,taiwanese-citizens,13219
12,13227,1914,rural,13226
1,13265,1916,great-plains,13264
135,16330,1917,price,16329
20,13717,1918,mexico-city,13716
7,14220,1919,mex,14219
5,13323,1921,tuscany,13322
27,13334,1922,dietary-restrictions,13333
39,49975,1924,invitation-letters,49974
4,13388,1925,japanese-visitors,13387
17,16171,1926,lakes,16170
12,16612,1927,taipei,16611
1,13412,1929,roc,13411
1,13414,1930,tyo,13413
1,13418,1931,asr,13417
1,13416,1932,nav,13415
18,20905,1933,reykjavik,20904
24,14796,1935,warsaw,14795
16,30995,1936,fraud,30994
12,14794,1938,vie,14793
4,14882,1940,rhine,14881
2,16162,1941,literature,16161
1,13688,1944,lake-constance,13687
5,13719,1946,dfw,13718
36,16392,1950,western-europe,16391
3,82516,1951,churchill,82515
1,14788,1952,luxembourg-city,14787
11,14786,1953,luxembourg,14785
6,23926,1954,portland,23925
18,16160,1955,malaysian-citizens,16159
3,82449,1957,manitoba,82448
46,13906,1959,local-cuisine,13905
16,14884,1960,rotterdam,14883
10,13908,1961,south-india,13907
4,14703,1962,tehran,14702
55,14019,1965,trekking,14018
8,14760,1966,uruguay,14759
5,18085,1967,montevideo,18084
5,14561,1969,zagreb,14560
8,13974,1970,skyteam,13973
5,16206,1973,archaeology,16205
2,14126,1975,dmk,14125
2,14120,1976,negombo,14119
32,52831,1979,conferences,52830
1,14563,1981,perperikon,14562
3,14512,1984,calgary,14511
1,16136,1987,winnipeg,16135
2,16158,1989,iowa,16157
8,14339,1990,open-jaw,14338
16,52847,1996,artworks,52846
4,14586,2000,tohoku,14585
11,14757,2005,southwest-airlines,14756
7,14709,2006,algeria,14708
14,16152,2007,spirit-airlines,16151
1,14680,2008,gro,14679
1,14682,2009,reu,14681
9,14736,2011,fco,14735
5,14746,2012,minneapolis,14745
1,14806,2014,gpa,14805
8,16156,2019,iraq,16155
2,16792,2020,afghanistan,16791
1,16749,2021,labrador,16748
9,16214,2022,parachutes-skydiving,16213
2,16790,2023,livorno,16789
21,16146,2025,utah,16145
7,16788,2026,hanoi,16787
4,16195,2027,connecticut,16194
1,16244,2028,north-dakota,16243
3,16246,2029,south-dakota,16245
9,31016,2030,indigenous-peoples,31015
2,16770,2031,cgn,16769
14,52843,2034,cafes,52842
10,16366,2035,casablanca,16365
2,16419,2036,nrn,16418
19,16786,2037,kosovo,16785
5,16784,2038,azores,16783
86,16441,2039,minors,16440
1,16448,2040,yamagata,16447
4,16465,2041,maldives,16464
2,16766,2042,tuva,16765
6,16782,2043,bergen,16781
3,16751,2044,guam,16750
2,16538,2046,nce,16537
116,16768,2048,business-travel,16767
17,16745,2049,hokkaido,16744
38,17804,2050,new-zealand-citizens,17803
10,17806,2051,peruvian-citizens,17805
3,16780,2057,death-valley,16779
1,16718,2058,mst,16717
2,16743,2059,guernsey,16742
10,30861,2061,malaysia-airlines,30860
5,16839,2062,south-carolina,16838
2,16841,2063,vlc,16840
3,17424,2065,eindhoven,17423
4,17422,2066,austin,17421
24,78744,2067,code-share,78743
6,17048,2069,andorra,17047
6,16958,2070,grenoble,16957
2,16990,2071,provence,16989
11,17420,2072,denver,17419
4,18254,2073,bne,18253
11,17418,2076,leipzig,17417
11,17223,2077,edi,17222
16,17414,2078,edinburgh,17413
1,17416,2079,dundee,17415
4,60825,2080,whalewatching,60824
14,17281,2082,cph,17280
2,17412,2083,cozumel,17411
96,34847,2084,residency,34846
1,17297,2085,falkland-islands,17296
8,17354,2087,west-bank,17353
7,17390,2089,leuven,17389
8,17471,2090,ory,17470
1,17469,2091,saint-lucia,17468
5,17485,2092,suriname,17484
4,17531,2096,sen,17530
2,18252,2097,world-cup,18251
4,17787,2098,world-war-ii,17786
1,17794,2099,hanover,17793
21,23271,2101,parks-and-gardens,23270
5,17791,2104,brittany,17790
3,17796,2105,uip,17795
29,18609,2116,belarus,18608
32,17995,2118,brazilian-citizens,17994
6,18256,2119,madagascar,18255
8,20911,2123,belize,20910
11,18245,2126,colorado,18244
2,18248,2127,i-80,18247
56,23916,2131,history,23915
26,20915,2134,italian-citizens,20914
1,18392,2135,zad,18391
1,18515,2142,dunes,18514
1,18518,2143,great-salt-lake,18517
2,18520,2144,salt-lakes,18519
4,18574,2145,seville,18573
5,18605,2147,corsica,18604
3,18607,2148,sardinia,18606
4,18603,2149,rix,18602
20,39267,2152,macau,39266
6,18683,2153,lis,18682
13,18694,2155,iad,18693
71,30989,2157,domestic-travel,30988
12,19348,2158,bratislava,19347
2,23570,2164,ishigaki,23569
3,82662,2166,antalya,82661
1,19901,2171,barefoot,19900
6,52909,2174,borneo,52908
6,52948,2175,trinidad-and-tobago,52947
147,23259,2176,multiple-entry,23258
7,23576,2177,yellowstone,23575
